review_id,app_name,rating,date,reviewer_name,review_text,helpful_count,version,device_type
R001,TaskMaster Pro,2,2024-03-01,Alex M.,"This app used to be great, but the latest update ruined everything. The new interface is confusing, and I can't find features that used to be easy to access. I've been using this app for 2 years, but I'm switching to something else. So disappointed.",45,iOS 3.2.1,iPhone
R002,TaskMaster Pro,5,2024-03-01,Sarah K.,"Love this app! It's helped me stay organized and get so much done. The interface is clean, the features are powerful, and the sync works perfectly across all my devices. Worth every penny. Highly recommend!",128,iOS 3.2.1,iPad
R003,TaskMaster Pro,1,2024-03-02,Mike T.,"Crashes constantly. I'll be in the middle of adding a task and the app just closes. I've lost data multiple times. Tried reinstalling, didn't help. This is unusable. Fix it or I'm requesting a refund.",67,iOS 3.2.1,iPhone
R004,TaskMaster Pro,4,2024-03-02,Jessica L.,"Pretty good app overall. Does what I need it to do. The UI could be better - it's a bit cluttered - but functionally it works well. I'd give it 5 stars if the design was cleaner.",23,iOS 3.2.0,iPhone
R005,TaskMaster Pro,3,2024-03-03,David R.,"It's okay. Not great, not terrible. I use it because I already paid for it, but I'm not excited about it. The features are basic, and there are better free alternatives out there. Probably won't renew my subscription.",12,iOS 3.1.9,iPhone
R006,TaskMaster Pro,5,2024-03-03,Emily C.,"This app changed my life! I was so disorganized before, but now I have everything in one place. The reminders are perfect, the categories are helpful, and I love being able to share lists with my family. Best productivity app I've ever used!",89,iOS 3.2.1,iPhone
R007,TaskMaster Pro,2,2024-03-04,Chris B.,"The sync is broken. I add tasks on my phone, but they don't show up on my iPad. I've tried everything - logging out, reinstalling, checking settings. Nothing works. This is a core feature and it's broken. Unacceptable.",34,iOS 3.2.1,iPad
R008,TaskMaster Pro,4,2024-03-04,Lisa M.,"Good app, but the free version is too limited. I understand they need to make money, but the free version is basically useless. At least let me create more than 5 tasks. That's ridiculous. The paid version is good though.",18,iOS 3.2.0,iPhone
R009,TaskMaster Pro,1,2024-03-05,Tom H.,"Worst app I've ever used. Nothing works. The interface is terrible, the features don't work, and customer support is non-existent. I've sent 3 emails and gotten no response. Save your money and look elsewhere.",56,iOS 3.2.1,iPhone
R010,TaskMaster Pro,5,2024-03-05,Rachel S.,"Amazing app! I've tried so many task management apps, and this is by far the best. The interface is intuitive, the features are powerful, and it's actually fun to use. I look forward to organizing my tasks now. That's saying something!",92,iOS 3.2.1,iPhone
R011,TaskMaster Pro,3,2024-03-06,James W.,"It's fine. Does what it says it does. Nothing special, but it works. I wish there were more customization options, but for basic task management, it's adequate. Probably won't use it long-term though.",7,iOS 3.1.9,iPhone
